,UID,cloudProdID,productID,shortID,colorNum,title,subtitle,category,type,currency,fullPrice,currentPrice,sale,TopColor,channel,short_description,rating,customizable,ExtendedSizing,inStock,ComingSoon,BestSeller,Excluded,GiftCard,Jersey,Launch,MemberExclusive,NBA,NFL,Sustainable,label,prebuildId,prod_url,color-ID,color-Description,color-FullPrice,color-CurrentPrice,color-Discount,color-BestSeller,color-InStock,color-MemberExclusive,color-New,color-Label,color-Image-url
10,d2a71d29-c76f-502c-a5cb-00427ba9a56ed2a71d29-c76f-502c-a5cb-00427ba9a56e,d2a71d29-c76f-502c-a5cb-00427ba9a56e,4d4823d7-9887-4a36-b260-bb026248c5a7,bb026248c5a7,1,Jordan 13 Retro,Little Kids' Shoes,jordan,FOOTWEAR,USD,100,100.0,False,White/Wheat,"['Nike Store Experiences', 'Nike.com', 'SNKRS', 'NikeApp']",Prepare for takeoff in one of the all-time favorites. The Jordan 13 Retro scales down the iconic design for little kids with a flexible sole and comfy materials. The look takes inspiration from Michael Jordan's original game shoe worn in '97.,4.8,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/jordan-13-retro-little-kids-shoes-pDNtf2/DJ3005-171,d2a71d29-c76f-502c-a5cb-00427ba9a56e,White/Wheat,100,100.0,False,False,True,False,True,JUST_IN,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/cd81ce74-9e76-4344-b3b8-5198c61c5d9f/image.jpg"
11,cb99a190-8320-57e5-8740-205024b05c87cb99a190-8320-57e5-8740-205024b05c87,cb99a190-8320-57e5-8740-205024b05c87,98964f39-60f3-49fd-b3e3-dad67d13b589,dad67d13b589,1,Jordan 13 Retro,Infant/Toddler Shoes,jordan,FOOTWEAR,USD,85,85.0,False,White/Wheat,"['Nike Store Experiences', 'Nike.com', 'SNKRS', 'NikeApp']","The AJ13 is one of the all-time favorites. The Jordan 13 Retro scales down the iconic design for little kids with a flexible sole, comfy materials, and a look inspired by Michael Jordan's original game shoe from '97.",4.9,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/jordan-13-retro-infant-toddler-shoes-h54htq/DJ3004-171,cb99a190-8320-57e5-8740-205024b05c87,White/Wheat,85,85.0,False,False,True,False,True,JUST_IN,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/40d07c6e-2191-4714-8d0a-25845a67fc58/image.jpg"
12,0985e507-2bcf-50f2-bd1e-b33ffef0330d0985e507-2bcf-50f2-bd1e-b33ffef0330d,0985e507-2bcf-50f2-bd1e-b33ffef0330d,19ea2ddf-0b5c-435b-b974-fe7b35546995,fe7b35546995,1,Air Jordan 11 Retro,Big Kids' Shoes,jordan,FOOTWEAR,USD,185,185.0,False,White/Black/Metallic Gold,"['Nike Store Experiences', 'Nike.com', 'SNKRS', 'NikeApp']",Walk the path of greatness in the Air Jordan 11 Retro. It has the sleek style of Michael Jordan's original game shoe with a fit that's been updated for comfort.,,False,False,False,True,False,False,False,False,True,False,False,False,False,COMING_SOON,,https://www.nike.com/t/air-jordan-11-retro-big-kids-shoes-KK99vE/378038-170,0985e507-2bcf-50f2-bd1e-b33ffef0330d,White/Black/Metallic Gold,185,185.0,False,False,False,False,False,COMING_SOON,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/dbfa054c-e354-4a88-8a6c-34a949135187/image.jpg"
13,65463358-abbe-591b-b13f-49f03653830e65463358-abbe-591b-b13f-49f03653830e,65463358-abbe-591b-b13f-49f03653830e,19051802-d694-4f52-8ad0-0dd20172c60f,0dd20172c60f,1,Air Jordan 11 Retro,Little Kids' Shoes,jordan,FOOTWEAR,USD,100,100.0,False,White/Black/Metallic Gold,"['Nike Store Experiences', 'Nike.com', 'SNKRS', 'NikeApp']","The Air Jordan 11 Retro features the plush cushioning, unique lines and durability of the original, delivering the lasting comfort and bold look that made it famous.",,False,False,False,True,False,False,False,False,True,False,False,False,False,COMING_SOON,,https://www.nike.com/t/air-jordan-11-retro-little-kids-shoes-eMprjl/378039-170,65463358-abbe-591b-b13f-49f03653830e,White/Black/Metallic Gold,100,100.0,False,False,False,False,False,COMING_SOON,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/d4db034d-a043-472d-88aa-cd447a99a06a/image.jpg"
14,0b49a073-fd67-5bd4-8043-ec8c8061cf9e0b49a073-fd67-5bd4-8043-ec8c8061cf9e,0b49a073-fd67-5bd4-8043-ec8c8061cf9e,e1c848eb-a27e-448a-9a59-bd456247c5a6,bd456247c5a6,1,Air Jordan 11 Retro,Baby/Toddler Shoes,jordan,FOOTWEAR,USD,85,85.0,False,White/Black/Metallic Gold,"['Nike Store Experiences', 'Nike.com', 'SNKRS', 'NikeApp']","The Air Jordan 11 Retro features the plush cushioning, unique lines and durability of the original, delivering the lasting comfort and bold look that made it famous.",,False,False,False,True,False,False,False,False,True,False,False,False,False,COMING_SOON,,https://www.nike.com/t/air-jordan-11-retro-baby-toddler-shoes-M1BkRr/378040-170,0b49a073-fd67-5bd4-8043-ec8c8061cf9e,White/Black/Metallic Gold,85,85.0,False,False,False,False,False,COMING_SOON,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/bbbed741-0401-4891-895f-9eea204ce6b1/image.jpg"
15,c8cb601f-d7e6-500e-a85d-845858fe35e6c8cb601f-d7e6-500e-a85d-845858fe35e6,c8cb601f-d7e6-500e-a85d-845858fe35e6,2f6c3f0c-e7b7-4fec-a02b-8ecc7ed4c721,8ecc7ed4c721,1,Jordan 11,Crib Bootie,jordan,FOOTWEAR,USD,60,60.0,False,White/Black/Metallic Gold,"['Nike Store Experiences', 'Nike.com', 'SNKRS', 'NikeApp']","A '95 icon puts a legendary shoe on little feet. The Jordan 11 Bootie has a lightweight and flexible design that's lace-free, making it easy to take on and off.",,False,False,False,True,False,False,False,False,True,False,False,False,False,COMING_SOON,,https://www.nike.com/t/jordan-11-crib-bootie-pmz67m/CI6165-170,c8cb601f-d7e6-500e-a85d-845858fe35e6,White/Black/Metallic Gold,60,60.0,False,False,False,False,False,COMING_SOON,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/8c5fee2e-d541-4079-a8c5-da34ae1bb5f7/image.jpg"
16,85c763db-6e5c-5940-842a-fd896d0554ac85c763db-6e5c-5940-842a-fd896d0554ac,85c763db-6e5c-5940-842a-fd896d0554ac,58cbcecb-5c3f-4dee-9520-d98df0abf0af,d98df0abf0af,1,"Air Jordan 3 ""Off Noir""",Women's Shoes,jordan,FOOTWEAR,USD,200,200.0,False,Off Noir/Sail/Cement Grey/Black,"['Nike Store Experiences', 'Nike.com', 'SNKRS', 'NikeApp']","Set the gold standard with the Air Jordan 3. An all-time favorite, this fresh colorway adds to the legacy. Of course, a hangtag certifies your place on the team—and the elephant print detailing delivers a classic finish.",4.9,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/air-jordan-3-off-noir-womens-shoes-XTx5gw/CK9246-001,85c763db-6e5c-5940-842a-fd896d0554ac,Off Noir/Sail/Cement Grey/Black,200,200.0,False,False,True,False,True,JUST_IN,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/52921c22-aeb6-4526-91e2-8ce3a76bf0ac/image.jpg"
17,f00fe7db-7aa1-5bf4-b81d-778e2bc41635f00fe7db-7aa1-5bf4-b81d-778e2bc41635,f00fe7db-7aa1-5bf4-b81d-778e2bc41635,631ebe51-8741-45e0-8d1b-f3fc57e25928,f3fc57e25928,1,"Air Jordan 4 Craft ""Olive""",Men's Shoes,jordan,FOOTWEAR,USD,210,210.0,False,Medium Olive/Cargo Khaki/Black/Pale Vanilla,"['Nike Store Experiences', 'Nike.com', 'SNKRS', 'NikeApp']","Here's the '89 classic, done up in elegant earth tones. Suede, leather and textiles come together in the upper for a truly textured look. And of course, all your favorite AJ4 elements are there too—like the floating eyestays and mesh-inspired side panels.",5,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/air-jordan-4-craft-olive-mens-shoes-GmXFz0/FB9927-200,f00fe7db-7aa1-5bf4-b81d-778e2bc41635,Medium Olive/Cargo Khaki/Black/Pale Vanilla,210,210.0,False,False,True,False,True,JUST_IN,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/ed24ef44-0d7c-43fa-b8a5-552aea0acafd/image.jpg"
18,a87b5378-0f82-583b-8033-787d3ce2482fa87b5378-0f82-583b-8033-787d3ce2482f,a87b5378-0f82-583b-8033-787d3ce2482f,73771412-6760-4078-ad48-463be1350ff6,463be1350ff6,1,Air Jordan 4 Retro SE Craft,Big Kids' Shoes,jordan,FOOTWEAR,USD,160,160.0,False,Medium Olive/Cargo Khaki/Black/Pale Vanilla,"['Nike Store Experiences', 'Nike.com', 'SNKRS', 'NikeApp']","Stick to your craft. Made with a blend of leather and other premium materials, this crafted version of the AJ4 branches out in a fresh colorway and a vintage, weathered look. Max Air in the sole ties it back to the original '89 silhouette.",0,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/air-jordan-4-retro-se-craft-big-kids-shoes-fs3w1b/FB9928-200,a87b5378-0f82-583b-8033-787d3ce2482f,Medium Olive/Cargo Khaki/Black/Pale Vanilla,160,160.0,False,False,True,False,True,JUST_IN,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/3ffd8810-4e55-4fd3-b385-657b75870ec1/image.jpg"
19,b5a5fa00-0b71-5d63-a2cd-ed132f947d98b5a5fa00-0b71-5d63-a2cd-ed132f947d98,b5a5fa00-0b71-5d63-a2cd-ed132f947d98,09b58b80-0300-43a0-b183-56359d2f2848,56359d2f2848,1,Jordan 4 Retro SE Craft,Little Kids' Shoes,jordan,FOOTWEAR,USD,100,100.0,False,Medium Olive/Cargo Khaki/Black/Pale Vanilla,"['Nike Store Experiences', 'Nike.com', 'SNKRS', 'NikeApp']","Help your little one hone the craft of wearing dope kicks with the immortal Jordan 4. A premium leather upper remixed with textiles and other durable materials, plus a fresh colorway, make this heritage-inspired pair a win.",0,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/jordan-4-retro-se-craft-little-kids-shoes-htFDcz/FB9929-200,b5a5fa00-0b71-5d63-a2cd-ed132f947d98,Medium Olive/Cargo Khaki/Black/Pale Vanilla,100,100.0,False,False,True,False,True,JUST_IN,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/53015a98-75c4-4e00-8e83-367882031f40/image.jpg"
20,a01e3e21-6647-5428-a0fa-ccc33ae258baa01e3e21-6647-5428-a0fa-ccc33ae258ba,a01e3e21-6647-5428-a0fa-ccc33ae258ba,777cb61f-51d1-4aff-ac58-9bd5c808795e,9bd5c808795e,1,Jordan 4 Retro SE Craft,Baby/Toddler Shoes,jordan,FOOTWEAR,USD,85,85.0,False,Medium Olive/Cargo Khaki/Black/Pale Vanilla,"['Nike Store Experiences', 'Nike.com', 'SNKRS', 'NikeApp']","Help your little one hone the craft of wearing dope kicks with the immortal Jordan 4. A premium leather upper remixed with textiles and other durable materials, plus a fresh colorway, make this heritage-inspired pair a win.",0,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/jordan-4-retro-se-craft-baby-toddler-shoes-nCVQ7Z/FB9930-200,a01e3e21-6647-5428-a0fa-ccc33ae258ba,Medium Olive/Cargo Khaki/Black/Pale Vanilla,85,85.0,False,False,True,False,True,JUST_IN,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/4d146a58-32e2-4d8a-891d-33118385d04a/image.jpg"
21,d222955c-2b88-5099-8975-cfe7bfc54c3dd222955c-2b88-5099-8975-cfe7bfc54c3d,d222955c-2b88-5099-8975-cfe7bfc54c3d,dde40457-86a1-4480-9526-33b4055507b6,33b4055507b6,1,Air Jordan 1 Mid SE,Men's Shoes,jordan,FOOTWEAR,USD,135,135.0,False,Black/Sky J Mauve/White/Sky J Orange,"['Nike Store Experiences', 'Nike.com', 'NikeApp']","Fresh look, familiar feel. Every time the AJ1 gets a remake, you get the classic sneaker in new colors and textures. Premium materials and accents give modern expression to an all-time favorite.",5,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/air-jordan-1-mid-se-mens-shoes-TlHVHn/FB9911-008,d222955c-2b88-5099-8975-cfe7bfc54c3d,Black/Sky J Mauve/White/Sky J Orange,135,135.0,False,False,True,False,True,JUST_IN,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/fc59de3d-0cfb-44c8-961c-1beccc6bd5d0/image.jpg"
22,d222955c-2b88-5099-8975-cfe7bfc54c3d4b177085-167a-5c57-955c-87009d52a023,d222955c-2b88-5099-8975-cfe7bfc54c3d,dde40457-86a1-4480-9526-33b4055507b6,33b4055507b6,2,Air Jordan 1 Mid SE,Men's Shoes,jordan,FOOTWEAR,USD,135,135.0,False,Black/Sky J Mauve/White/Sky J Orange,"['Nike Store Experiences', 'Nike.com', 'NikeApp']","Fresh look, familiar feel. Every time the AJ1 gets a remake, you get the classic sneaker in new colors and textures. Premium materials and accents give modern expression to an all-time favorite.",5,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/air-jordan-1-mid-se-mens-shoes-TlHVHn/FB9911-008,4b177085-167a-5c57-955c-87009d52a023,Off Noir/White/Black/Black,135,135.0,False,False,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/6dd5c76b-c124-45f3-952e-a89d0741bcdf/image.jpg"
